"#","#","*","-","-","-","(Last updated: August 2026)","","Sardinia 2026","","","","","","","","","Austria 2025","","","","","","","","","Sardinia 2025","","","","","","","","","AC 2024","","","","","","","","","Sardinia 2024","","","","","","","","","WC 2023","","","","","","","","","AC 2019","","","","","","","","","AC 2017","","","","","","","","","EC 2017","","","","","","","","","WC 2016","","IC 2015","","","","","","","","WC 2014","","WC 2013","",""
"","","","Name","Player","Team","Continent","","100%","","","S-R","","","","","BP","100%","","","S-R","","","","","","75%","","","S-R","","","","","","75%","","","S-R","","","","","","50%","","","S-R","","","","","","62%","","","S-R","","","","","","10%","","","S-R","","","","","","1%","","","S-R","","","","","","1%","","","S-R","","","","","","28%","","1%","","","","","","","","12%","","5%","",""
"47","41","","Mahmoud","Juma","Kuwait","Asia","155,8","","","","","","","","","","4F","90","90","S","1,0","6","6","2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","65,8","55,8","S","1,0","5","5","2","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47","41","","Fayez","Almutiri","Kuwait","Asia","155,8","","","","","","","","","","4F","90","90","S","1,0","6","6","2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","65,8","55,8","S","0,8","5","4","2","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"48","42","","Naseb","Al-Abdulla","Qatar","Asia","135,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","4F","135","135","S","0,8","4","3","2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","S","1,0","7","7","4","0","","","","","","","","","","","","","","","","","","","","","","","",""
"48","42","","Bryan","Rodríguez","Ecuador","America","135,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","4F","135","135","S","1,0","4","4","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","S","1,0","7,0","7","4","0","","","","","","","","","","","","","","","","","","","","","","","",""
"48","42","","Abdulaziz","Baker","Qatar","Asia","135,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","4F","135","135","S","0,5","4","2","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","S","1,0","7,0","7","4","0","","","","","","","","","","","","","","","","","","","","","","","",""
"49","43","*","Fabio","Argiolas","Italy","Europe","123,75","4R","45","45","S","1,0","5","5","2","","","","","","","","","","","4R","33,75","33,75","S","1,0","6","6","2","0","","","","","","","","","","4F","45","45","S","1,0","5","5","3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49","43","*","Gianluca","Loddo","Italy","Europe","123,8","4R","45","45","S","1,0","5","5","2","","","","","","","","","","","4R","33,75","33,75","S","1,0","6","6","2","0","","","","","","","","","","4F","45,0","45","S","1,0","5","5","3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50","","","Helder","Clara","Portugal","Europe","115,5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4F","1,8","1,8","S","1,0","4","4","2","0","4F","100,8","4F","0,9","0,9","1,0","5","5","3","0","FG","12","","",""
"51","44","","Phillippe","Liard","France","Europe","110,8","","","","","","","","","","4R","45","45","S","1,0","5","5","2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","65,8","55,8","S","1,0","5","5","2","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52","45","*","Fabio","Piras","Italy","Europe","105","4R","45","45","S","1,0","5","5","1","","","","","","","","","","","FG","15","15","S","1,0","4","4","0","0","","","","","","","","","","4F","45","45","S","1,0","5","5","3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
